1,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
0,102582,49,102582.jpg,Broiler Chicken Breast,"[""102582.jpg"",""102582-1.jpg"",""102582-2.jpg"",""102582-3.jpg"","" "",]",470,470,0,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Preheat the oven's broiler and set the oven rack about 6 inches from the heat source. Rub olive oil over each chicken breast, then season both sides with salt and black pepper. Place the chicken skin-side down on a broiling pan. Broil in the preheated oven for 10 minutes, then flip the chicken breast skin-side up.",,,20/12/2050,0,0,5,4,1,0,1000|500|250,1,5,6027|11978|11947,0,12397
0,102587,49,102587.jpg,Broiler Chicken legs-Boneless,"[""102587.jpg"",""102587-1.jpg"",""102587-2.jpg"",""102587-3.jpg"","" "",]",492,339,31,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Chicken feet consist of skin, cartilage, tendons, and bones. Even without providing much meat, they're high in collagen , the most abundant protein in your body. This collagen content may help relieve joint pain, aid skin health, and prevent bone loss.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6028|11978|11951,0,12397
0,102590,49,102590.jpg,Broiler Chicken Wings With Skin,"[""102590.jpg"",""102590-1.jpg"",""102590-2.jpg"",""102590-3.jpg"","" "",]",289,199,31,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"For properly cooked chicken, if you cut into it and the juices run clear, then the chicken is fully cooked. If the juices are red or have a pinkish color, your chicken may need to be cooked a bit longer.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6029|11978|11953,0,12397
0,102592,49,102592.jpg,Broiler Chicken Drumstick-Without skin,"[""102592.jpg"",""102592-1.jpg"",""102592-2.jpg"",""102592-3.jpg"","" "",]",450,310,31,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Chicken feet consist of skin, cartilage, tendons, and bones. Even without providing much meat, they're high in collagen , the most abundant protein in your body. This collagen content may help relieve joint pain, aid skin health, and prevent bone loss.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6030|11978|11949,0,12397
0,102615,49,102615.jpg,Broiler Chicken With Skin,"[""102615.jpg"",""102615-1.jpg"",""102615-2.jpg"",""102615-3.jpg"","" "",]",283,195,31,0,9,58,0,0,0,0,0,0,1,1,0,0,0,0,"A broiler is any chicken (Gallus gallus domesticus) that is bred and raised specifically for meat production. ... Broiler or sometimes broiler-fryer is also used sometimes to refer specifically to younger chickens under 4.5 pounds, as compared with the larger roasters.",,,20/12/2050,0,1,5,4,1,0,[],0,5,6034|11978|11954,0,12397
0,128069,49,128069.jpg,Broiler Chicken Pieces-Without skin,"[""128069.jpg"",""128069-1.jpg"",""128069-2.jpg"",""128069-3.jpg"","" "",]",245,245,0,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Jhatka Broiler Dress Chicken without Skin is a chicken which is cut using Jhatka process and skin is removed while cleaning the chicken. A broiler is any chicken (Gallus gallus domesticus) that is bred and raised specifically for meat production. ... Broiler or sometimes broiler-fryer is also used sometimes to refer specifically to younger chickens under 4.5 pounds, as compared with the larger roasters.",,,20/12/2050,0,0,5,4,1,0,1000|500,1,5,6126|11978|11952,0,12397
0,128327,49,128327.jpg,Broiler Chicken Without Skin 1 NO/KG,"[""128327.jpg"",""128327-1.jpg"",""128327-2.jpg"",""128327-3.jpg"","" "",]",245,245,0,0,9,58,0,0,0,0,0,0,1,1,0,0,0,0,"Jhatka Broiler Dress Chicken without Skin is a chicken which is cut using Jhatka process and skin is removed while cleaning the chicken. A broiler is any chicken (Gallus gallus domesticus) that is bred and raised specifically for meat production. ... Broiler or sometimes broiler-fryer is also used sometimes to refer specifically to younger chickens under 4.5 pounds, as compared with the larger roasters.",,,20/12/2050,0,0,5,4,1,0,1000|500,1,5,6127|11978|11956,0,12397
0,146675,49,146675.jpg,Mutton Paya-6 Pieces,"[""146675.jpg"",""146675-1.jpg"",""146675-2.jpg"",""146675-3.jpg"","" "",]",434,434,0,0,9,58,0,0,0,0,0,0,1,1,0,0,0,0,"Extremely nutritious, remarkably rich in protein and minerals, Bone Broth is full of healing compounds like collagen, glutamine, glycine, and proline and benefits the system in many ways both on the inside and outside. It imparts immunity and energy, aids sleep and improves memory.",,,20/12/2050,0,0,5,4,1,0,[],0,5,6149|11958|11963,0,12396
0,270201,49,270201.jpg,Chicken Tandoori Without Skin,"[""270201.jpg"",""270201-1.jpg"",""270201-2.jpg"",""270201-3.jpg"","" "",]",318,318,0,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,Tandoor is currently one of the most important menus in the Indian restaurants around the world. The word Tandoor means a cylindrical oven used for baking and cooking. Traditionally the fuel used in Tandoor is charcoal or firewood. ... The food cooked in the Tandoor oven is known as Tandoori.,,,20/12/2050,0,0,5,4,1,0,1000|500,1,5,7300|11978|11957,0,12397
0,319569,49,319569.jpg,Boiler Chicken Curry cut without skin,"[""319569.jpg"",""319569-1.jpg"",""319569-2.jpg"",""319569-3.jpg"","" "",]",301,274,9,0,9,58,0,0,0,0,0,0,1,1,0,0,0,0,"Jhatka Broiler Dress Chicken without Skin is a chicken which is cut using Jhatka process and skin is removed while cleaning the chicken. A broiler is any chicken (Gallus gallus domesticus) that is bred and raised specifically for meat production. ... Broiler or sometimes broiler-fryer is also used sometimes to refer specifically to younger chickens under 4.5 pounds, as compared with the larger roasters.",,,20/12/2050,0,0,5,4,1,0,[],0,5,8401|11978|11945,0,12397
0,319957,49,319957.jpg,Broiler Chicken Breast-Boneless,"[""319957.jpg"",""319957-1.jpg"",""319957-2.jpg"",""319957-3.jpg"","" "",]",492,339,31,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Preheat the oven's broiler and set the oven rack about 6 inches from the heat source. Rub olive oil over each chicken breast, then season both sides with salt and black pepper. Place the chicken skin-side down on a broiling pan. Broil in the preheated oven for 10 minutes, then flip the chicken breast skin-side up.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,8413|11978|11948,0,12397
0,326807,49,326807.jpg,Mutton Leg,"[""326807.jpg"",""326807-1.jpg"",""326807-2.jpg"",""326807-3.jpg"","" "",]",1101,759,31,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"It is high in protein, selenium, zinc and iron. The speciality of this meat is that it has all 8 amino acids . This meat aids muscle generation and the production of red blood cells, avoiding ""anemia"". In moderation, mutton can be a beneficial component in an overall healthy diet.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,8631|11958|11961,0,12396
0,326808,49,326808.jpg,Mutto Chops,"[""326808.jpg"",""326808-1.jpg"",""326808-2.jpg"",""326808-3.jpg"","" "",]",1052,956,9,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Not only is it a rich source of high-quality protein, but it is also an outstanding source of many vitamins and minerals, including iron, zinc, and vitamin B12. Because of this, regular consumption of lamb may promote muscle growth, maintenance, and performance.",,,20/12/2050,0,0,5,4,1,0,1000|500,1,5,8632|11958|11959,0,
0,326809,49,326809.jpg,Mutton Biryani Pieces,659,912,912,0,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Mutton is popular in most of the household. It is treated as a delicacy and is prepared in different joyous occasions. The juicy taste and the chewy texture make it a favourite among many. Moreover, they come with a lot of health benefits. It is packed with protein, saturated fat, iron, zinc and B vitamins.

Fresho Mutton Biriyani pieces are perfectly carved to with your biriyani. This juicy, tender meat will surely enhance the flavour of the dish. It comes in 8-10 pieces which are perfect for 2-3 people.

<strong>Add-on Benefits of Fresho Mutton:</strong>

<ul>
<li> Premium quality </li>

<li> Tender Meat </li>

<li> Processed and packed under strict hygienic condition.</li></ul>

Fresho Meats is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.",,,20/12/2050,0,0,5,4,1,0,1000|500,1,5,8633|11958|11960,0,12396
0,326812,49,326812.jpg,Mutton Soup Pieces (Nalli),"[""326812.jpg"",""326812-1.jpg"",""326812-2.jpg"",""326812-3.jpg"","" "",]",123,123,0,0,9,58,0,0,0,0,0,0,1,1,0,0,0,0," Mutton soup is considered an amazing remedy to cure fever, cough and hands and limb pain as well. It is an extremely refreshing and nutritious dish to be had during the monsoon season. Mutton soup, flavoured with spices, is included in the post delivery diet for women to regain their strength.",,,20/12/2050,0,0,5,4,1,0,[],0,5,8634|11958|11964,0,12396
0,326815,49,326815.jpg,Mutton leg-Boneless,"[""326815.jpg"",""326815-1.jpg"",""326815-2.jpg"",""326815-3.jpg"","" "",]",1159,1159,0,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"It is high in protein, selenium, zinc and iron. The speciality of this meat is that it has all 8 amino acids . This meat aids muscle generation and the production of red blood cells, avoiding ""anemia"". In moderation, mutton can be a beneficial component in an overall healthy diet.",,,20/12/2050,0,0,5,4,1,0,1000|500,1,5,8635|11958|11962,0,12396
0,334392,49,334392.jpg,Boiler chicken Lollypop,309,509,463,9,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Chicken feet consist of skin, cartilage, tendons, and bones. Even without providing much meat, they're high in collagen , the most abundant protein in your body. This collagen content may help relieve joint pain, aid skin health, and prevent bone loss.",,,20/12/2050,0,0,5,4,1,0,1000|500,1,5,8833|11978|11946,0,12397
0,339075,49,339075.jpg,Boiler Chicken without skin 900-1100 g FROZEN,"[""339075.jpg"",""339075-1.jpg"",""339075-2.jpg"",""339075-3.jpg"","" "",]",318,318,0,0,9,58,0,0,0,0,0,0,1,1,0,0,0,0,"Jhatka Broiler Dress Chicken without Skin is a chicken which is cut using Jhatka process and skin is removed while cleaning the chicken. A broiler is any chicken (Gallus gallus domesticus) that is bred and raised specifically for meat production. ... Broiler or sometimes broiler-fryer is also used sometimes to refer specifically to younger chickens under 4.5 pounds, as compared with the larger roasters.",,,20/12/2050,0,0,5,4,1,0,1000|500,1,5,8963|11978|11955,0,12397
0,405537,49,405537.jpg,Broiler Chicken leg-Boneless  FROZEN,"[""405537.jpg"",""405537-1.jpg"",""405537-2.jpg"",""405537-3.jpg"","" "",]",359,359,0,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Chicken feet consist of skin, cartilage, tendons, and bones. Even without providing much meat, they're high in collagen , the most abundant protein in your body. This collagen content may help relieve joint pain, aid skin health, and prevent bone loss.",,,20/12/2050,0,0,5,4,1,0,1000|500,1,5,11394|11978|11950,0,12397
