id,original_price,sell_price,variations_types,stocks
405217,30,27,[],0
251150,22,20,[],100
250543,143,130,1000|500|250,100
249926,265,265,1000|500|2000,0
249944,219,199,1000|500|2000,100
249951,121,110,1000|500|2000,100
249961,219,199,1000|500|2000,100
285818,292,265,1000|500|2000,0
249963,219,199,1000|500|2000,100
249953,296,269,1000|500|2000,0
250544,69,63,[],100
342749,54,49,[],0
250624,253,230,[],0
250625,121,110,1000|500|2000,100
368181,42,38,[],0
250626,72,65,[],0
250512,50,45,[],100
250103,99,90,1000|500|2000,0
250553,55,50,1000|500|2000,100
250110,94,85,1000|500|2000,100
250116,32,29,1000|500|2000,100
250549,17,15,[],100
250122,61,55,1000|500|2000,100
250545,22,20,[],100
250547,11,10,[],0
250492,44,40,1000|500|250,0
250641,50,45,1000|500|250,100
250554,22,20,1000|500|2000,100
250474,39,35,1000|500|250,0
250561,28,25,1000|500,100
403952,295,260,[],100
250569,21,19,[],100
250460,44,40,1000|500|250,100
250457,17,15,1000|500|250,100
250445,55,50,1000|500|250,100
250638,176,160,1000|500|2000,0
250521,17,15,[],100
250656,143,130,[],0
250657,110,100,[],100
250462,66,60,1000|500|2000,100
250634,165,150,1000|500|2000,100
250635,165,150,1000|500|2000,100
250536,65,65,1000|500|250,0
273395,83,75,1000|500|2000,0
347642,109,99,1000|500|2000,100
250931,40,36,[],0
250660,154,140,1000|500|2000,100
250465,55,50,1000|500|250,0
250468,33,30,1000|500|250,100
250570,39,35,1000|500|2000,0
250574,17,15,1000|500|2000,100
252663,25,22,[],100
250586,44,40,1000|500|2000,100
250679,25,22,[],100
250438,44,40,1000|500|2000,100
250440,14,12,1000|500|2000,100
250443,58,53,[],0
250680,20,18,[],100
250216,242,220,1000|500|2000,0
250600,40,36,[],100
279522,37,33,1000|500|2000,0
279427,275,250,1000|500|2000,0
250615,7,6,[],0
405152,70,63,1000|500|2000,0
368287,44,40,[],0
405143,44,40,[],0
250511,70,63,[],100
277860,75,50,[],100
250591,59,53,500,100
279433,286,260,1000|500|2000,0
