id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations,size,tax_class,tags,hsn_code
102582,49,102582.jpg,Broiler Chicken Breast,"[""102582.jpg"",""102582-1.jpg"",""102582-2.jpg"",""102582-3.jpg"","" "",]",470,470,0,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Preheat the oven's broiler and set the oven rack about 6 inches from the heat source. Rub olive oil over each chicken breast, then season both sides with salt and black pepper. Place the chicken skin-side down on a broiling pan. Broil in the preheated oven for 10 minutes, then flip the chicken breast skin-side up.",,,20/12/2050,0,0,5,4,1,0,"[{""title"":""size"",""type"":""radio"",""items"":[{""title"":""1 KG"",""price"":470,""discount"":470},{""title"":""500g"",""price"":235,""discount"":235},{""title"":""250g"",""price"":117,""discount"":117}]}]",1,5,123976027|11978|11947,0
102587,49,102587.jpg,Broiler Chicken legs-Boneless,"[""102587.jpg"",""102587-1.jpg"",""102587-2.jpg"",""102587-3.jpg"","" "",]",541,492,10,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Chicken feet consist of skin, cartilage, tendons, and bones. Even without providing much meat, they're high in collagen , the most abundant protein in your body. This collagen content may help relieve joint pain, aid skin health, and prevent bone loss.",,,20/12/2050,0,1,5,4,1,0,"[{""title"":""size"",""type"":""radio"",""items"":[{""title"":""1 KG"",""price"":463,""discount"":463},{""title"":""500g"",""price"":231,""discount"":231}]}]",1,5,123976028|11978|11951,0
102590,49,102590.jpg,Broiler Chicken Wings With Skin,"[""102590.jpg"",""102590-1.jpg"",""102590-2.jpg"",""102590-3.jpg"","" "",]",318,289,10,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"For properly cooked chicken, if you cut into it and the juices run clear, then the chicken is fully cooked. If the juices are red or have a pinkish color, your chicken may need to be cooked a bit longer.",,,20/12/2050,0,1,5,4,1,0,"[{""title"":""size"",""type"":""radio"",""items"":[{""title"":""1 KG"",""price"":289,""discount"":289},{""title"":""500g"",""price"":144,""discount"":144}]}]",1,5,123976029|11978|11953,0
102592,49,102592.jpg,Broiler Chicken Drumstick-Without skin,"[""102592.jpg"",""102592-1.jpg"",""102592-2.jpg"",""102592-3.jpg"","" "",]",495,450,10,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Chicken feet consist of skin, cartilage, tendons, and bones. Even without providing much meat, they're high in collagen , the most abundant protein in your body. This collagen content may help relieve joint pain, aid skin health, and prevent bone loss.",,,20/12/2050,0,1,5,4,1,0,"[{""title"":""size"",""type"":""radio"",""items"":[{""title"":""1 KG"",""price"":637,""discount"":579},{""title"":""500g"",""price"":318,""discount"":289}]}]",1,5,123976030|11978|11949,0
102615,49,102615.jpg,Broiler Chicken With Skin,"[""102615.jpg"",""102615-1.jpg"",""102615-2.jpg"",""102615-3.jpg"","" "",]",311,283,10,0,9,58,0,0,0,0,0,0,1,1,0,0,0,0,"A broiler is any chicken (Gallus gallus domesticus) that is bred and raised specifically for meat production. ... Broiler or sometimes broiler-fryer is also used sometimes to refer specifically to younger chickens under 4.5 pounds, as compared with the larger roasters.",,,20/12/2050,0,1,5,4,1,0,[],0,5,123976034|11978|11954,0
128069,49,128069.jpg,Broiler Chicken Pieces-Without skin,"[""128069.jpg"",""128069-1.jpg"",""128069-2.jpg"",""128069-3.jpg"","" "",]",245,245,0,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Jhatka Broiler Dress Chicken without Skin is a chicken which is cut using Jhatka process and skin is removed while cleaning the chicken. A broiler is any chicken (Gallus gallus domesticus) that is bred and raised specifically for meat production. ... Broiler or sometimes broiler-fryer is also used sometimes to refer specifically to younger chickens under 4.5 pounds, as compared with the larger roasters.",,,20/12/2050,0,0,5,4,1,0,"[{""title"":""size"",""type"":""radio"",""items"":[{""title"":""1 KG"",""price"":245,""discount"":245},{""title"":""500g"",""price"":122,""discount"":122}]}]",1,5,123976126|11978|11952,0
128327,49,128327.jpg,Broiler Chicken Without Skin 1 NO/KG,"[""128327.jpg"",""128327-1.jpg"",""128327-2.jpg"",""128327-3.jpg"","" "",]",245,245,0,0,9,58,0,0,0,0,0,0,1,1,0,0,0,0,"Jhatka Broiler Dress Chicken without Skin is a chicken which is cut using Jhatka process and skin is removed while cleaning the chicken. A broiler is any chicken (Gallus gallus domesticus) that is bred and raised specifically for meat production. ... Broiler or sometimes broiler-fryer is also used sometimes to refer specifically to younger chickens under 4.5 pounds, as compared with the larger roasters.",,,20/12/2050,0,0,5,4,1,0,"[{""title"":""size"",""type"":""radio"",""items"":[{""title"":""1 KG"",""price"":245,""discount"":245},{""title"":""500g"",""price"":122,""discount"":122}]}]",1,5,123976127|11978|11956,0
146675,49,146675.jpg,Mutton Paya-6 Pieces,"[""146675.jpg"",""146675-1.jpg"",""146675-2.jpg"",""146675-3.jpg"","" "",]",434,434,0,0,9,58,0,0,0,0,0,0,1,1,0,0,0,0,"Extremely nutritious, remarkably rich in protein and minerals, Bone Broth is full of healing compounds like collagen, glutamine, glycine, and proline and benefits the system in many ways both on the inside and outside. It imparts immunity and energy, aids sleep and improves memory.",,,20/12/2050,0,0,5,4,1,0,[],0,5,123966149|11958|11963,0
270201,49,270201.jpg,Chicken Tandoori Without Skin,"[""270201.jpg"",""270201-1.jpg"",""270201-2.jpg"",""270201-3.jpg"","" "",]",318,318,0,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,Tandoor is currently one of the most important menus in the Indian restaurants around the world. The word Tandoor means a cylindrical oven used for baking and cooking. Traditionally the fuel used in Tandoor is charcoal or firewood. ... The food cooked in the Tandoor oven is known as Tandoori.,,,20/12/2050,0,0,5,4,1,0,"[{""title"":""size"",""type"":""radio"",""items"":[{""title"":""1 KG"",""price"":318,""discount"":318},{""title"":""500g"",""price"":159,""discount"":159}]}]",1,5,123977300|11978|11957,0
319569,49,319569.jpg,Boiler Chicken Curry cut without skin,"[""319569.jpg"",""319569-1.jpg"",""319569-2.jpg"",""319569-3.jpg"","" "",]",301,274,10,0,9,58,0,0,0,0,0,0,1,1,0,0,0,0,"Jhatka Broiler Dress Chicken without Skin is a chicken which is cut using Jhatka process and skin is removed while cleaning the chicken. A broiler is any chicken (Gallus gallus domesticus) that is bred and raised specifically for meat production. ... Broiler or sometimes broiler-fryer is also used sometimes to refer specifically to younger chickens under 4.5 pounds, as compared with the larger roasters.",,,20/12/2050,0,0,5,4,1,0,[],0,5,123978401|11978|11945,0
