nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations,size,tax_class,tags,hsn_code
0,102582,49,102582.jpg,Broiler Chicken Breast,"[""102582.jpg"",""102582-1.jpg"",""102582-2.jpg"",""102582-3.jpg"","" "",]",470,470,10,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Preheat the oven's broiler and set the oven rack about 6 inches from the heat source. Rub olive oil over each chicken breast, then season both sides with salt and black pepper. Place the chicken skin-side down on a broiling pan. Broil in the preheated oven for 10 minutes, then flip the chicken breast skin-side up.",,,20/12/2050,0,0,5,4,1,0,1000|500|250,1,5,6027|11978|11947,0
0,102587,49,102587.jpg,Broiler Chicken legs-Boneless,"[""102587.jpg"",""102587-1.jpg"",""102587-2.jpg"",""102587-3.jpg"","" "",]",509,463,10,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Chicken feet consist of skin, cartilage, tendons, and bones. Even without providing much meat, they're high in collagen , the most abundant protein in your body. This collagen content may help relieve joint pain, aid skin health, and prevent bone loss.",,,20/12/2050,0,0,5,4,1,0,1000|500,1,5,6028|11978|11951,0
0,102590,49,102590.jpg,Broiler Chicken Wings With Skin,"[""102590.jpg"",""102590-1.jpg"",""102590-2.jpg"",""102590-3.jpg"","" "",]",318,289,10,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"For properly cooked chicken, if you cut into it and the juices run clear, then the chicken is fully cooked. If the juices are red or have a pinkish color, your chicken may need to be cooked a bit longer.",,,20/12/2050,0,0,5,4,1,0,1000|500,1,5,6029|11978|11953,0
0,102592,49,102592.jpg,Broiler Chicken Drumstick-Without skin,"[""102592.jpg"",""102592-1.jpg"",""102592-2.jpg"",""102592-3.jpg"","" "",]",471,428,10,0,9,58,0,0,0,0,0,0,0,0,0,0,0,0,"Chicken feet consist of skin, cartilage, tendons, and bones. Even without providing much meat, they're high in collagen , the most abundant protein in your body. This collagen content may help relieve joint pain, aid skin health, and prevent bone loss.",,,20/12/2050,0,0,5,4,1,0,1000|500,1,5,6030|11978|11949,0
0,102615,49,102615.jpg,Broiler Chicken With Skin 1 NO /KG,"[""102615.jpg"",""102615-1.jpg"",""102615-2.jpg"",""102615-3.jpg"","" "",]",263,239,10,0,9,58,0,0,0,0,0,0,1,1,0,0,0,0,"A broiler is any chicken (Gallus gallus domesticus) that is bred and raised specifically for meat production. ... Broiler or sometimes broiler-fryer is also used sometimes to refer specifically to younger chickens under 4.5 pounds, as compared with the larger roasters.",,,20/12/2050,0,0,5,4,1,0,[],0,5,6034|11978|11954,0
0,106220,49,106220.jpg,Fresh Mackerel Large Fish,"[""106220.jpg"",""106220-1.jpg"",""106220-2.jpg"",""106220-3.jpg"","" "",]",477,525,10,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"Mackerel is a nutritious fish for everybody. It has high levels of essential fatty acids, which improve endurance and aid recovery after exercise, while helping to maintain beautiful skin",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6076|11965|11970,0
0,106224,49,106224.jpg,Fresh White Pomfret-Medium,"[""106224.jpg"",""106224-1.jpg"",""106224-2.jpg"",""106224-3.jpg"","" "",]",1434,1304,10,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"It is a great source of calcium, vitamins A and D, and B vitamins, including Vitamin B12, vital for the nervous system. It also offers iodine, critical for the thyroid gland. A useful brain food, the pomfret is good for eyesight and healthy hair and skin.",,,20/12/2050,0,0,5,4,1,0,1000|500,1,5,6077|11965|11974,0
0,106227,49,106227.jpg,Fresh Black Pomfret-Medium,"[""106227.jpg"",""106227-1.jpg"",""106227-2.jpg"",""106227-3.jpg"","" "",]",1159,1275,10,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"It is a great source of calcium, vitamins A and D, and B vitamins, including Vitamin B12, vital for the nervous system. It also offers iodine, critical for the thyroid gland. A useful brain food, the pomfret is good for eyesight and healthy hair and skin.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6078|11965|11966,0
0,106244,49,106244.jpg,Fresh Indian Salmon Large Fish,"[""106244.jpg"",""106244-1.jpg"",""106244-2.jpg"",""106244-3.jpg"","" "",]",1243,1130,10,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"The protein found in Indian salmon or Rawas helps the body maintain a healthy metabolism which promotes weight loss. A 100 gm fillet or serving of salmon contains 22-26 grams of protein. Rich in omega 3 and 6 fatty acids, it may contain contaminants like PCBs. So do not have it more than 170 grams in a week.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6079|11965|11968,0
0,106271,49,106271.jpg,Pink Perch Fresh,"[""106271.jpg"",""106271-1.jpg"",""106271-2.jpg"",""106271-3.jpg"","" "",]",492,541,10,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"The Perch is cooked when its meat turns opaque but is still moist on the inside. Being a lighter food, it is tender and rich in DHA which is the highest in any freshwater fish. Quite naturally, it is healthy and nourishing for the brain. Besides, it contains high-quality protein but has low fat contents.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6080|11965|11976,0
0,106367,49,106367.jpg,Fresh White Prwans-Medium,"[""106367.jpg"",""106367-1.jpg"",""106367-2.jpg"",""106367-3.jpg"","" "",]",695,765,10,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,"Prawns are a rich source of selenium, one of the most effective antioxidants at maintaining healthy cells. They also contain high levels of Zinc, which is important to develop a healthy immune system. Eating prawns helps build strong bones because they contain phosphorous, copper and magnesium.",,,20/12/2050,0,1,5,4,1,0,1000|500,1,5,6081|11965|11975,0
