id,name,descriptions
250417,Tomato - country,"Tomatoes are the major part of Indian Kitchen which is highly rich in Vitamin C, Potassium, folate, and Vitamin K. Very good dietary product which helps in keeping your stomach full for longer duration at the same time keeping your weight in check."
250437,Tomato - Hybrid,"Tomatoes are the major part of Indian Kitchen which is highly rich in Vitamin C, Potassium, folate, and Vitamin K. Very good dietary product which helps in keeping your stomach full for longer duration at the same time keeping your weight in check."
249877,Mosambi / Sweet Lime,"Sweet limes generally called Mosambi are rich in Vitamin C and antioxidants, helps to cure digestion issues/constipation, boosts immunity. A must fruit in your fruit basket."
249889,Orange Valecia/ kittale hannu,"The daily requirement of Vitamin C is maximum obtained by just consuming one orange a day. Sweet, juicy, tangy all flavors in one fruit."
265702,Sprite 1.25L,Sprite a non-alcoholic drink which can be best enjoyed by one and all anytime anyday.
288068,Kinley Soda 1.25L,"Kinley Soda, an excellent choice to stir up your mocktails and to make your own fresh-lime sodas"
250145,Pear Red Anjou,"Red Anjou consists of a mild, sweet flavor with a smooth texture and an abundance of juice when fully ripe. They are much the same as their Green counterparts in all aspects aside from color. This color makes them distinctive."
250231,Mango - Banganapalli,"Thin-skinned beautiful yellow-colored mangoes. High in Potassium, Vitamin A, C, Copper, and Folate. The king of fruits does not need any additional temptation to relish it."
250406,Mango Totapuri,A south indian variety of mango which can be eaten raw with salt and chillypowder when the season begins or sweet tangy flavour can be enjoyed by the end of the season. The skin is also edible.
250103,Banana Flower,"Edible flower from banana tree which has extreme health benefits. Helpful in treatment of constipation, menstrual cramps and ulcers"
124656,Pillsbury Chakki Fresh Atta (5 kg),soft rotis assured even after hours of making. Atta is made from extremely high-quality wheat enriched with fiber which is good for the digestion system.
124657,Pillsbury Chakki Fresh Atta (10 kg),soft rotis assured even after hours of making. Atta is made from extremely high-quality wheat enriched with fiber which is good for the digestion system.
126903,Aashirvaad Superior MP Atta 5kg,"Aashirvaad Superior MP Atta is 100% wheat and 0% maida which indicates the goodness of the product. Its made of whole wheat, sourced from selected centres, and no contact packing."
126906,Aashirvaad Superior Mp Atta 10 kg,"Aashirvaad Superior MP Atta is 100% wheat and 0% maida which indicates the goodness of the product. Its made of whole wheat, sourced from selected centres, and no contact packing."
279804,"24 Mantra Organic Besan (Gram) Flour, 500g",
249961,apple royal gala,"For a juicier tasting apples try a Royal Gala apple, Apples are a source of fibre,"
250438,english cucumber,"englishcucumbers contains good amount of water and soluble fiber, making them ideal for promoting hydration and aiding in weight loss."
250440,hybrid cucumber,"Cucumbers (Cucumis sativus L.) are prostrate, branched, stiffly hairy vines possessing sharply five-cornered leaves and unbranched tendrils. They are placed botanically in the same genus as melons only because the Swedish botanist LinnÃƒÂ© had done so."
288926,fanta300 ml,"Bright, bubbly and a popular favorite, Fanta Orange is a soft drink with a tingly, fruity taste."
265707,thumbs up,THUMBS UP TASTE THE THUNDER
314045,brown &polson corn flour1kg,"Corn starch, maize starch, or cornflour is the starch derived from corn grain. The starch is obtained from the endosperm of the kernel. Corn starch is a common food ingredient, often used to thicken sauces or soups, and to make corn syrup and other sugars."
161826,Aashirvaad Superior MP Atta 2 kg,"Aashirvaad Whole Wheat Atta provides the goodness of health in every bite. This product incorporates many benefits of wheat and lets your body maintain a nutrient balance. It is made of nutritious wheat grains. Also, it has a sweet taste that gives you fuller and softer rotis, every single time. Buy Aashirvaad Whole Wheat Atta online now"
169054,Sampurna Bazaar Super Thin Poha / Aval 500 g,"It is a good source of carbohydrates, packed with iron, rich in fibre, a good source of antioxidants and essential vitamins and is gluten free. It is known to be good for those who have diabetes, skin and heart problem"
169054,Sri Bhagyalakshmi Rice Flakes Thick 500 g,"It is a good source of carbohydrates, packed with iron, rich in fibre, a good source of antioxidants and essential vitamins and is gluten free.                                         "
279852,24 Mantra Organic Wheat Dhaliya 500gms,Good Source of Minerals: Dhaliya is a good source of the daily requirement of fiber and manganese. 
279853,24 Mantra Organic Whole Wheat Atta Premium 1 kg,"Whole wheat flour is also rich in vitamins B-1, B-3, and B-5, along with riboflavin and folate. It also has more iron, calcium, protein, and other nutrients than white flour."
279867,"24 Mantra Organic Ajwain, 100g","Active enzymes in ajwain improve the flow of stomach acids, which can help to relieve indigestion, bloating, and gas."
284087,Weikfield Cornflour 100g,"Corn starch, maize starch, or cornflour is the starch derived from corn grain. The starch is obtained from the endosperm of the kernel. Corn starch is a common food ingredient, often used to thicken sauces or soups, and to make corn syrup and other sugars."
279828,"24 Mantra Organic Channa Dal/Kadale Bele, 500 g",Grown without synthetic Pesticides Grown without synthetic GMOs Unpolished and unadulterated rich in protein A good source of dietary fibre
279830,"24 Mantra Organic Brown Chana, 500 g",Grown without synthetic Pesticides Grown without synthetic GMOs Unpolished and unadulterated rich in protein A good source of dietary fibre
279863,"24 Mantra Organic Coriander Seeds - Whole, 100 g",Grown without synthetic Pesticides
298071,"24 Mantra Organic Flax Seeds Organic, 200 g","Flaxseed is commonly used to improve digestive health or relieve constipation. Flaxseed may also help lower total blood cholesterol and low-density lipoprotein (LDL, or ""bad"") cholesterol levels, which may help reduce the risk of heart disease."
261478,Lemon,"Lemon, Citrus Limon are used in variety of foods and drinks,It is a good souce of Vitamin C and supports weight loss and mainly it freshens our breathe."
279427,Dragon Fruit ( Imported) ,"Dragon fruit is a tropical fruit native to Mexico and Central America. It tastes like a combination of Kiwi and Peer, it has small amount of nutrients and it has got decent source of iron, Magnesium and Fiber."
298938,Kiwi ,"Kiwis are small fruits that pack a lot of flavor and plenty of health benefits. Their green flesh is sweet and tangy.This tart fruit can support heart health, digestive health, and immunity. The kiwi is a healthy choice of fruit and is rich with vitamins and antioxidants."
350486,Thai Gauva ,"Thai guavas are only mildly sweet and have very little fragrance. The crunchy flesh and hard seeds are both edible.Good for Your Brain,Lowers Risk of Cancer, Diabetes Friendly,Improves Eyesight."
250544,Ash Gourd (3kg packet),"Ash-guard has been well-regarded for its significant medicinal values and widely used in Ayurveda,it has immense health benefits and it is popular local cuisine across India, as well as in alleviating illnesses of the stomach, liver and skin."
250554,Beet-Root,"This Packed Beetroot consits of essential nutrients, beetroots are a great source of Fiber, Manganese, Potassium , Iron and Vitamin-C. Beetroots are delecious raw and Helps lower Blood-Pressure. "
250561,Bitter-Gourd, Bittergourd/Bittermelon is a plant that gets its name from its taste. It becomes more and more bitter as it ripens and it packs imporant nutrients and helps to lower blood sugar and mainly have cancer fighting properties.
250561,Bitter-Gourd Per Piece(Each), Bittergourd/Bittermelon is a plant that gets its name from its taste. It becomes more and more bitter as it ripens and it packs imporant nutrients and helps to lower blood sugar and mainly have cancer fighting properties.
204629,Aashirvaad Select Sharbati Atta (5 kg),"Premium quality atta, Aashirvaad Select atta is made from 100% MP Sharbati wheat that is harvested in golden fields of North India and are sun-kissed to perfection and showered by the right amount of rain.This is why each grain is heavier and looks gold. Aashirvaad Select is prepared to give you the finest, softest and fluffiest rotis/phulkas you have ever tasted. The best of Taste, with every bite!"
241538,Aashirvaad Superior Mp Atta(1 kg ),"Aashirvaad superior Mp atta is 100% whole wheat flour and 0% maida,  Aashirvaad Superior atta  is prepared to give you the finest, softest and fluffiest rotis/phulkas you have ever tasted. The best of Nature, with every bite!"
243991,Pillsbury Chakki Fresh Atta 1 kg,"Pillsbury Chakki Fresh atta is 100% whole wheat flour and 0% maida,  provides consumers the soft and Delicious rotis you have ever tasted. Ranked top 3 packaged wheat atta brands in India."
255516,Pillsbury Multigrain Atta(1 kg),"Pillsburry Multigrain is an exclusive blend of seven grains that are specially blended to supply all-around fitness benefits, Pillsbury Multigrain Atta promises your family additional nutrition each day and makes the best chapattis, Paratas and Dosas."
284420,Aashirvaad Multigrain Atta 5 kg,"Aashirvaad Multigrain Atta promises your family additional nutrition each day and makes the best chapattis, Paratas and Dosas,Aashirvaad Multigrain is an exclusive blend of seven grains that are specially blended to supply all-around fitness benefits."
284422,Aashirvaad Multigrain Atta 1 kg,"Aashirvaad Multigrain Atta promises your family additional nutrition each day and makes the best chapattis, Paratas and Dosas,Aashirvaad Multigrain is an exclusive blend of seven grains that are specially blended to supply all-around fitness benefits."
293304,Fine Food Sago 500g,"Sago is extracted from tropical palms, It’s versatile and a primary source of carbs in some parts of the world."
169053,Sri Bhagyalakshmi Fried gram 500 g,"Sri Bhagyalakshmi Fried Gram is packed with nutrients and helps keeping your appetite under control, Mainly used to prepare chutneys and benefits Digestion "
301968,"24 Mantra Organic Urad Dal Black Split, 500 g","Sri Bhagyalakshmi Fried Gram is packed with nutrients and helps keeping your appetite under control, Mainly used to prepare chutneys and benefits Digestion "
301974,"24 Mantra Organic Tur Dal, 1kg","Sri Bhagyalakshmi Fried Gram is packed with nutrients and helps keeping your appetite under control, Mainly used to prepare chutneys and benefits Digestion "
306540,"24 Mantra Organic Green Moong Whole, 1 kg","Sri Bhagyalakshmi Fried Gram is packed with nutrients and helps keeping your appetite under control, Mainly used to prepare chutneys and benefits Digestion "
306542,"24 Mantra Organic Moong Dal, 1 kg","Sri Bhagyalakshmi Fried Gram is packed with nutrients and helps keeping your appetite under control, Mainly used to prepare chutneys and benefits Digestion "
250468,Chilli Green - Hasi Menasinakayi,"Chilli Green is regular in all spicy foods, food tastes good with Chilli green, Chilli green can be used in all spicy foods, Chilli Green is good for pachadi preparations etc.,"
250474,Bhendi - Bendekayi,"Bhendi used as Bhendi fry, curries. Bhindi is popular vegetable in curries. Bhindi is good for Eyesight."
250122,Banana Yelakki - Yelakki Balehannu,"Banana Yelakki helps to reduce BP, supports eye health, rich in antioxidants. Banana Yelakki helps to improve the immune system"
250145,Pear Red Anjou,"Red Anjou consists of a mild, sweet flavor with a smooth texture and an abundance of juice when fully ripe. They are much the same as their Green counterparts in all aspects aside from color. This color makes them distinctive."
227052,"Ensure Nutrition drink - Vanilla, Chocolate - 1kg","Ensure is best nutrition supplement for adults, Ensure helps to restore the energy, Ensure helps to maintain healthy weight, helps to overcome malnutrition"
407522,Heineken Non Alcoholic drink 330ml Bottle,Heineken Non Alcoholic drink 330ml Bottle tastes similar to Beer. Brings down the cravings for alcoholic beverages
250607,Ridge Gourd - Heerekayi,"Ridge Gourd is ppularly used in curries, helps to improve digestion rich in fibres, Rich in vitamins like A,C & B16. Ridge Gourd improves the blood components."
250608,Ridge Gourd - Heerekayi,Snake Gourd is powerpacked with vitamins and nutrients and Minerals. Snake Gourd is very good for health. Snake Gourd is popularly used in curries. Snake Gourd is a healthy laxative too.
320424,"Pro Nature Channa Dal, 500 g"," Channa Dal is  Good for the Heart. 
It Builds Strong Muscles,
improves Body Immunity thereby helps to
Prevent Disease 
It promotes healthy  Bones and Teeth . 
Lowers Blood Sugar and helps  in Weight Loss. 
It also Has Anti-Inflammatory Properties."
