"2","simple","simple","0"
"3","grouped","grouped","0"
"4","variable","variable","0"
"5","external","external","0"
"6","exclude-from-search","exclude-from-search","0"
"7","exclude-from-catalog","exclude-from-catalog","0"
"8","featured","featured","0"
"9","outofstock","outofstock","0"
"10","rated-1","rated-1","0"
"11","rated-2","rated-2","0"
"12","rated-3","rated-3","0"
"13","rated-4","rated-4","0"
"14","rated-5","rated-5","0"
"16","Aside","aside","0"
"17","Design","design","0"
"18","Enterprise","enterprise","0"
"19","Enterprise","enterprise-de","0"
"20","Events","events","0"
"21","Events","events-de","0"
"22","Gadgets","gadgets","0"
"23","Links &amp; Quotes","links-quotes","0"
"24","Mobile","mobile","0"
"25","News","news","0"
"26","News","news-de","0"
"27","Podcasts","podcasts","0"
"28","Social","social","0"
"29","Technology","technology","0"
"30","Videos","videos","0"
"31","amazon like","amazon-like","0"
"32","Awesome","awesome","0"
"33","bootstrap","bootstrap","0"
"34","buy it","buy-it","0"
"35","clean design","clean-design","0"
"36","electronics","electronics","0"
"37","theme","theme","0"
"38","video post format","video-post-format","0"
"39","woocommerce","woocommerce","0"
"40","wordpress","wordpress","0"
"41","AASHIRVAAD","aashirvaad","0"
"42","Acer","acer","0"
"43","AISHWARYA","aishwarya","0"
"44","ALL OUT","all-out","0"
"45","AMUL","amul","0"
"46","Apple","apple","0"
"47","Aqua Transparent","aqua-transparent","0"
"48","ARO","aro","0"
"49","Asus","asus","0"
"52","BAGRRY&#039;S","bagrrys","0"
"54","BAKESMITH","bakesmith","0"
"62","BEST FOODS","best-foods","0"
"64","BHAGYALAKSHMI","bhagyalakshmi","0"
"65","BIKANO","bikano","0"
"67","Black","black-de","0"
"68","Black &amp; Green","black-green","0"
"69","Black Leather","black-leather-de","0"
"70","Black Leather","black-leather","0"
"71","Black with Red","black-with-red","0"
"72","Blue","blue-de","0"
"73","BOURNVITA","bournvita","0"
"76","Brown","brown","0"
"80","CATCH","catch","0"
"82","Champagne","champagne-de","0"
"83","Charcoal","charcoal-de","0"
"85","CLINIC PLUS","clinic-plus","0"
"86","cobalt blue","cobalt-blue","0"
"87","Cobalt blue &amp; White","cobalt-blue-white","0"
"88","Coca Cola","coca-cola","0"
"90","COLGATE","colgate","0"
"91","COMPLAN","complan","0"
"93","COTHAS COFFEE","cothas-coffee","0"
"94","Cream","cream","0"
"95","DAAWAT","daawat","0"
"96","DABUR","dabur","0"
"99","DALDA","dalda","0"
"100","Dark","dark","0"
"101","Dark Brown","dark-brown","0"
"102","Dell","dell","0"
"106","DETTOL","dettol","0"
"114","DOVE","dove","0"
"115","DUKE&#039;S","dukes","0"
"120","EVEREADY","eveready","0"
"121","EVEREST","everest","0"
"122","EVERYDAY","everyday","0"
"123","EXO","exo","0"
"129","FINE LIFE","fine-life","0"
"133","FORTUNE","fortune","0"
"143","GANESH","ganesh","0"
"145","GARNIER","garnier","0"
"147","Gionee","gionee","0"
"149","GODREJ","godrej","0"
"150","Gold","gold","0"
"151","GOOD DAY","good-day","0"
"152","GOOD KNIGHT","good-knight","0"
"155","Green","green","0"
"164","HALDIRAM&#039;S","haldirams","0"
"166","HAPPY HAPPY","happy-happy","0"
"167","HARPIC","harpic","0"
"168","HEAD &amp; SHOULDERS","head-shoulders","0"
"172","HEINZ","heinz","0"
"173","HENKO","henko","0"
"175","HIMALAYA","himalaya","0"
"176","HIT","hit","0"
"177","HOMELITE","homelite","0"
"178","HP","hp","0"
"179","HTC","htc","0"
"180","IBM","ibm","0"
"190","KELLOGG&#039;S","kelloggs","0"
"193","KINLEY","kinley","0"
"194","KISSAN","kissan","0"
"197","KRACK JACK","krack-jack","0"
"198","LAY&#039;S","lays","0"
"199","Leaf green","leaf-green","0"
"200","Leaf green and white","leaf-green-and-white","0"
"201","Lemon yellow and white","lemon-yellow-and-white","0"
"203","Lenova","lenova","0"
"204","LG","lg","0"
"205","LIFEBUOY","lifebuoy","0"
"206","Light Brown Leather","light-brown-leather-de","0"
"207","Light Brown Leather","light-brown-leather","0"
"208","Ligtht Olive &amp; Lemon Green","ligtht-olive-lemon-green","0"
"209","LIJJAT","lijjat","0"
"210","Lime","lime-de","0"
"211","MAAZA","maaza","0"
"212","MADHURI","madhuri","0"
"213","magenta","magenta","0"
"214","MAGGI","maggi","0"
"218","MARGO","margo","0"
"221","Maroon and gold","maroon-and-gold","0"
"223","Matte Black","matte-black-de","0"
"224","Matte Black","matte-black","0"
"225","MDH","mdh","0"
"229","Metallic-sky","metallic-sky-de","0"
"230","Micromax","micromax","0"
"231","Microsoft","microsoft","0"
"232","MILANO","milano","0"
"236","MINUTE MAID","minute-maid","0"
"237","MONACO","monaco","0"
"244","MR.WHITE","mr-white","0"
"245","MTR","mtr","0"
"247","Multi Colour","multi-colour","0"
"248","Multi Colur","multi-colur","0"
"250","MYSORE SANDAL","mysore-sandal","0"
"253","NIVEA","nivea","0"
"254","NO BRAND","no-brand","0"
"259","Ochure and Blue","ochure-and-blue","0"
"262","Orange","orange","0"
"263","Orange,white,green","orangewhitegreen","0"
"264","Orange,yellow-green,blue&amp;black","orangeyellow-greenblueblack","0"
"276","PARACHUTE","parachute","0"
"277","PARLE-G","parle-g","0"
"283","PATANJALI","patanjali","0"
"288","PILLSBURY","pillsbury","0"
"289","Pink","pink-de","0"
"290","POND&#039;S","ponds","0"
"299","PRIL","pril","0"
"300","PRO","pro","0"
"302","Purple","purple-de","0"
"303","QUAKER","quaker","0"
"304","RAMEN","ramen","0"
"305","REAL","real","0"
"306","Red","red-de","0"
"307","Red and cobalt blue","red-and-cobalt-blue","0"
"312","RIN","rin","0"
"313","Rose Pink and White","rose-pink-and-white","0"
"314","RUSK","rusk","0"
"319","Samsung","samsung","0"
"327","SHALIMAR","shalimar","0"
"337","Snarkitecture","snarkitecture-de","0"
"339","SOFY","sofy","0"
"340","Sony","sony","0"
"341","Spacegrey","spacegrey","0"
"346","SPRITE","sprite","0"
"348","STAYFREE","stayfree","0"
"354","SUNFEAST","sunfeast","0"
"356","SURF EXCEL","surf-excel","0"
"360","TASKI","taski","0"
"366","THUMS UP","thums-up","0"
"367","TIDE","tide","0"
"369","titanium","titanium-de","0"
"378","Toshiba","toshiba","0"
"380","Transperant (no colour)","transperant-no-colour","0"
"381","transperent","transperent","0"
"384","Turquoise","turquoise-de","0"
"389","VANISH","vanish","0"
"390","VASELINE","vaseline","0"
"391","VERKA","verka","0"
"392","Vermilian red","vermilian-red","0"
"393","Vermillian Red and white","vermillian-red-and-white","0"
"399","WHISPER","whisper","0"
"400","White","white-de","0"
"401","White and lemon Yellow","white-and-lemon-yellow","0"
"402","White with Gold","white-with-gold","0"
"406","Xiaomi","xiaomi","0"
"407","Yellow","yellow-de","0"
"408","Yellow,red,purple,blue,wine","yellowredpurplebluewine","0"
"776","Departments Menu","departments-menu","0"
"777","Footer Menu #1","footer-menu-1","0"
"778","Footer Menu #2","footer-menu-2","0"
"779","Footer Menu #3","footer-menu-3","0"
"780","Header Support","header-support","0"
"781","Home v5","home-v5","0"
"782","Home v7 Vertical Menu","home-v7-vertical-menu","0"
"783","Main Menu","main-menu","0"
"784","MainMenu","mainmenu","0"
"785","Mobile Footer Menu #1","mobile-footer-menu-1","0"
"786","Mobile Footer Menu #2","mobile-footer-menu-2","0"
"787","Mobile Footer Menu #3","mobile-footer-menu-3","0"
"788","Mobile Footer Menu #4","mobile-footer-menu-4","0"
"789","Mobile Handheld Department","mobile-handheld-department","0"
"790","Navbar Primary","navbar-primary","0"
"791","Pages Menu #1","pages-menu-1","0"
"792","Pages Menu #2","pages-menu-2","0"
"793","Pages Menu #3","pages-menu-3","0"
"794","Pages Menu #4","pages-menu-4","0"
"795","Top Bar Center","top-bar-center","0"
"796","Top Bar Left","top-bar-left","0"
"797","Top Bar Right","top-bar-right","0"
"798","Vertical Menu","vertical-menu","0"
"799","Link","post-format-link","0"
"800","Quote","post-format-quote","0"
"801","Video","post-format-video","0"
"802","Audio","post-format-audio","0"
"803","Gallery","post-format-gallery","0"
"804","0","0","0"
"805","free shipping","free-shipping","0"
"806","isdisabled","isdisabled","0"
"807","LIZOL","lizol","0"
"808","COLIN","colin","0"
"809","SCOTCH-BRITE","scotch-brite","0"
"810","SANIFRESH","sanifresh","0"
"811","GAINDA","gainda","0"
"812","PANASONIC","panasonic","0"
"813","ARJUN","arjun","0"
"814","PUJA","puja","0"
"815","RAJDHANI","rajdhani","0"
"816","MASTI","masti","0"
"817","24 MANTRA","24-mantra","0"
"819","CINTHOL","cinthol","0"
"820","LUX","lux","0"
"821","PEARS","pears","0"
"822","REXONA","rexona","0"
"823","SANTOOR","santoor","0"
"824","FEM","fem","0"
"826","EVERYUTH","everyuth","0"
"827","REVIVE","revive","0"
"828","50-50","50-50","0"
"829","20-20","20-20","0"
"830","DARK FANTASY","dark-fantasy","0"
"831","BOURBON","bourbon","0"
"832","MCVITIE&#039;S","mcvities","0"
"833","NICE","nice","0"
"834","BRITANNIA","britannia","0"
"836","SOULFULL","soulfull","0"
"837","Coffee brown &amp; Yellow Occure","coffee-brown-yellow-occure","0"
"838","MOHUN&#039;S","mohuns","0"
"839","CERELAC","cerelac","0"
"840","LACTOGEN","lactogen","0"
"841","NESTLE NAN","nestle-nan","0"
"842","SAFFOLA","saffola","0"
"843","Violet","violet","0"
"844","Olive green and yellow","olive-green-and-yellow","0"
"845","COMFORT","comfort","0"
"846","GHARI","ghari","0"
"847","NESCAFE","nescafe","0"
"848","BRU","bru","0"
"850","Orange and ochure","orange-and-ochure","0"
"852","Yellow and dark green","yellow-and-dark-green","0"
"853","Olive Green","olive-green","0"
"854","Yellow and white","yellow-and-white","0"
"855","Cobalt blue and cobalt blue tint","cobalt-blue-and-cobalt-blue-tint","0"
"857","MILKMAID","milkmaid","0"
"858","GOOD LIFE","good-life","0"
"859","NANDINI","nandini","0"
"861","Golden","golden","0"
"862","ARIEL","ariel","0"
